a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
97	40.64777	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
98	40.645	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
99	40.64223	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
100	40.63946	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
101	40.63669	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
102	40.63393	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
103	40.63116	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
104	40.62839	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
105	40.62562	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
106	40.62285	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
107	40.62008	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
108	40.61731	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
109	40.61455	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
110	40.61178	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
111	40.60901	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
112	40.60624	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
113	40.60347	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
114	40.6007	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
115	40.59793	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
116	40.59517	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
117	40.65227	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
118	40.6495	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
119	40.64673	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
120	40.64396	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
121	40.64119	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
122	40.63843	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
123	40.63566	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
124	40.63289	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
125	40.63012	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
126	40.62735	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
127	40.62458	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
128	40.62181	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
129	40.61905	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
130	40.61628	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
131	40.61351	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
132	40.61074	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
133	40.60797	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
134	40.6052	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
135	40.60243	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
136	40.59967	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
137	40.65677	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
138	40.654	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
139	40.65123	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
140	40.64846	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
141	40.64569	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
142	40.64293	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
143	40.64016	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
144	40.63739	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
145	40.63462	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
146	40.63185	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
147	40.62908	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
148	40.62631	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
149	40.62355	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
150	40.62078	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
151	40.61801	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
152	40.61524	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
153	40.61247	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
154	40.6097	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
155	40.60693	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
156	40.60417	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
157	40.66127	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
158	40.6585	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
159	40.65573	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
160	40.65296	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
161	40.65019	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
